FI Utilities Corp,MaturityDate,OfferingDate,State RegionFromPrimaryAddress,SeniorityLevel,CouponRate,CouponatOffer,OfferingAmount,Rating
IQT14311532,1/1/2013,1/14/2003,NJ,Senior Secured,5,5,150,BBB
IQT14311415,2/1/2033,1/14/2003,IL,Senior Secured,5.875,5.875,350,A-
IQT32234865,2/1/2033,1/14/2003,IL,Senior Unsecured,5.875,5.875,350,A-
IQT14311480,2/15/2006,1/15/2003,DC,Senior Unsecured,3.75,3.75,300,BBB+
IQT14311478,1/15/2033,1/15/2003,SC,Senior Secured,5.8,5.8,200,A-
IQT14311883,1/24/2013,1/21/2003,UT,Senior Unsecured,5,5,40,A+
IQT14314254,9/1/2007,1/27/2003,TX,Senior Unsecured,5,5,200,BBB-
IQT14314278,5/1/2012,1/27/2003,TX,Senior Secured,6.375,6.375,700,BBB
IQT14312120,2/1/2013,1/27/2003,MS,Senior Secured,5.15,5.15,100,BBB
IQT14314247,9/1/2022,1/27/2003,TX,Senior Secured,7,7,800,BBB-
IQT14314274,5/1/2032,1/27/2003,TX,Senior Secured,7,7,500,BBB
IQT14312231,2/1/2013,1/28/2003,CA,Senior Unsecured,6,6,400,A-
IQT14313151,2/15/2005,2/10/2003,VA,Senior Unsecured,2.8,2.8,300,BBB+
IQT40712466,2/15/2008,2/10/2003,VA,Senior Unsecured,4.125,4.125,400,BBB+
IQT14313283,2/15/2006,2/11/2003,AL,Senior Unsecured,2.65,2.65,170,A
IQT14313321,2/15/2013,2/11/2003,OH,Senior Unsecured,5.5,5.5,250,BBB+
IQT32244943,2/15/2013,2/11/2003,OH,Senior Unsecured,5.5,5.5,250,BBB+
IQT14313319,3/1/2013,2/11/2003,OH,Senior Unsecured,5.5,5.5,250,BBB+
IQT32243583,3/1/2013,2/11/2003,OH,Senior Unsecured,5.5,5.5,250,BBB+
IQT14313322,2/15/2033,2/11/2003,OH,Senior Unsecured,6.6,6.6,250,BBB+
IQT14313287,2/15/2033,2/11/2003,AL,Senior Unsecured,5.7,5.7,250,A
IQT14313320,3/1/2033,2/11/2003,OH,Senior Unsecured,6.6,6.6,250,BBB+
IQT14313414,2/15/2005,2/12/2003,OH,Senior Unsecured,3,3,150,BBB+
IQT14313417,2/15/2013,2/12/2003,OH,Senior Unsecured,5.5,5.5,275,BBB+
IQT32232229,2/15/2013,2/12/2003,OH,Senior Unsecured,5.5,5.5,275,BBB+
IQT14313413,3/1/2013,2/12/2003,OH,Senior Unsecured,5.5,5.5,225,BBB+
IQT40603050,2/15/2033,2/12/2003,OH,Senior Unsecured,6.65,6.65,275,BBB+
IQT32231477,2/15/2033,2/12/2003,OH,Senior Unsecured,6.65,6.65,275,BBB+
IQT14313403,3/15/2033,2/12/2003,MI,Senior Secured,5.7,5.7,200,BBB+
IQT14313636,3/1/2013,2/13/2003,IN,Senior Unsecured,6.15,6.15,345,BBB
IQT14313628,3/1/2013,2/18/2003,FL,Senior Secured,4.8,4.8,425,BBB+
IQT14313629,3/1/2033,2/18/2003,FL,Senior Secured,5.9,5.9,225,BBB+
IQT14315915,8/28/2012,2/19/2003,MN,Senior Secured,8,8,450,BBB+
IQT14313830,3/5/2008,2/20/2003,NC,Senior Secured,3.75,3.75,500,A-
IQT14313780,3/1/2010,2/20/2003,IL,Senior Unsecured,4,4,50,A-
IQT14313800,2/25/2033,2/20/2003,OR,Senior Secured,5.66,5.66,40,A
IQT14334118,11/15/2007,2/21/2003,PA,Senior Secured,10.25,10.25,343.7,BB-
IQT14314140,3/1/2013,2/25/2003,VA,Senior Unsecured,4.75,4.75,400,A-
IQT40712467,3/15/2013,3/3/2003,VA,Senior Unsecured,5,5,300,BBB+
IQT40712468,3/15/2033,3/3/2003,VA,Senior Unsecured,6.3,6.3,300,BBB+
IQT14314725,3/7/2008,3/4/2003,HI,Senior Unsecured,4,4,50,BBB
IQT14314729,3/7/2013,3/4/2003,HI,Senior Unsecured,5.25,5.25,50,BBB
IQT14314992,3/1/2013,3/7/2003,CO,Senior Secured,4.875,4.875,250,BBB
IQT14315038,3/15/2033,3/10/2003,IL,Senior Unsecured,6.35,6.35,200,A-
IQT14315174,3/15/2010,3/11/2003,OH,Senior Unsecured,5.375,5.375,500,BBB
IQT14315234,3/15/2033,3/12/2003,AL,Senior Unsecured,5.6,5.6,200,A
IQT14315329,3/15/2010,3/13/2003,OH,Senior Secured,4.45,4.45,100,BBB
IQT14315359,3/15/2013,3/13/2003,TX,Senior Secured,5.7,5.7,450,BBB
IQT14315330,3/15/2013,3/13/2003,OH,Senior Secured,4.95,4.95,150,BBB
IQT14315362,3/15/2033,3/13/2003,TX,Senior Secured,6.95,6.95,312.275,BBB
IQT14315682,4/1/2010,3/19/2003,NC,Senior Secured,4.5,4.5,200,A
IQT40630265,4/1/2013,3/19/2003,TX,Senior Unsecured,7.875,7.875,650,BBB
IQT14315770,3/15/2018,3/20/2003,UT,Senior Unsecured,5.31,5.31,70,A+
IQT14318149,10/1/2012,3/24/2003,CO,Senior Secured,7.875,7.875,600,BBB+
IQT14316101,4/1/2008,3/25/2003,MS,Senior Secured,4.35,4.35,100,BBB
IQT36499592,3/25/2027,3/25/2003,0,Senior Unsecured,5.875,5.875,314.14,BBB+
IQT14316302,4/15/2033,3/27/2003,MI,Senior Unsecured,6.375,6.375,400,BBB+
IQT14316509,4/15/2015,3/31/2003,IL,Senior Secured,4.7,4.7,395,A-
IQT14316536,4/1/2034,3/31/2003,FL,Senior Secured,5.625,5.625,500,A
IQT14316631,4/1/2013,4/1/2003,NY,Senior Unsecured,4.65,4.65,150,A
IQT14316632,4/1/2033,4/1/2003,NY,Senior Unsecured,5.875,5.875,150,A
IQT14316923,4/1/2033,4/7/2003,NY,Senior Unsecured,5.875,5.875,175,A+
IQT14316989,4/11/2006,4/8/2003,FL,Senior Unsecured,3.25,3.25,500,A
IQT14317081,4/15/2015,4/8/2003,OH,Senior Unsecured,5.375,5.375,100,BBB
IQT14317100,4/16/2007,4/9/2003,NJ,Senior Unsecured,7.75,7.75,350,BBB
IQT14320978,8/15/2007,4/9/2003,DC,Senior Unsecured,5.5,5.5,500,BBB
IQT14320979,8/15/2012,4/9/2003,DC,Senior Unsecured,6.45,6.45,750,BBB
IQT14320976,8/15/2032,4/9/2003,DC,Senior Unsecured,7.45,7.45,250,BBB
IQT14317219,4/15/2023,4/11/2003,GA,Senior Unsecured,5.75,5.75,100,A
IQT14317447,5/1/2008,4/15/2003,OH,Senior Unsecured,4,4,175,BBB
IQT14317448,5/1/2015,4/15/2003,OH,Senior Unsecured,5.45,5.45,150,BBB
IQT14320761,10/15/2009,4/17/2003,NV,Senior Unsecured,10.875,10.875,250,B+
IQT14317671,5/1/2008,4/21/2003,PA,Senior Secured,3.5,3.5,450,A
IQT14317817,4/15/2008,4/23/2003,MI,Senior Secured,4.25,4.25,250,BB
IQT14317815,5/1/2008,4/23/2003,LA,Senior Unsecured,7,7,100,BBB-
IQT14317820,4/15/2013,4/23/2003,MI,Senior Secured,5.375,5.375,375,BB
IQT14317814,5/1/2013,4/23/2003,LA,Senior Unsecured,5.375,5.375,75,BBB
IQT14317794,5/1/2013,4/23/2003,IL,Senior Unsecured,4.625,4.625,75,A-
IQT14317795,5/1/2013,4/23/2003,IL,Senior Unsecured,4.625,4.625,40,A-
IQT14318230,5/15/2008,4/30/2003,OH,Senior Unsecured,3.6,3.6,200,BBB
IQT14318231,5/15/2033,4/30/2003,OH,Senior Unsecured,5.95,5.95,200,BBB
IQT14318280,5/1/2008,5/1/2003,AL,Senior Unsecured,3.125,3.125,250,A
IQT14318287,5/1/2018,5/1/2003,AR,Senior Secured,5.4,5.4,150,BBB
IQT14318467,5/1/2023,5/5/2003,NY,Senior Unsecured,5.75,5.75,200,BBB+
IQT14318620,5/15/2015,5/7/2003,AZ,Senior Unsecured,4.65,4.65,300,BBB
IQT14318621,5/15/2033,5/7/2003,AZ,Senior Unsecured,5.625,5.625,200,BBB
IQT14318666,10/1/2013,5/8/2003,ID,Senior Secured,4.25,4.25,70,A-
IQT14318667,4/1/2033,5/8/2003,ID,Senior Secured,5.5,5.5,70,A-
IQT32251131,4/1/2033,5/8/2003,ID,Senior Unsecured,5.5,5.5,2.2,A-
IQT14322390,7/1/2012,5/9/2003,MO,Senior Unsecured,11.875,14.875,500,B
IQT14318995,5/15/2008,5/13/2003,IA,Senior Unsecured,3.5,3.5,450,BBB-
IQT14319130,5/15/2008,5/14/2003,MI,Senior Unsecured,7.125,7.125,150,BBB-
IQT14319129,5/15/2013,5/14/2003,MI,Senior Unsecured,7.75,7.75,150,BBB-
IQT14319052,5/15/2033,5/14/2003,SC,Senior Secured,5.3,5.3,300,A-
IQT44340392,6/1/2015,5/15/2003,OH,Senior Unsecured,5.25,5.25,300,BBB
IQT14319214,5/15/2013,5/16/2003,SD,Senior Unsecured,6.5,6.5,250,BBB-
IQT14319197,7/1/2023,5/16/2003,TX,Senior Secured,5.6,5.6,200,BBB
IQT14319260,6/15/2018,5/19/2003,OH,Senior Secured,4.8,4.8,150,BBB
IQT32245432,6/15/2018,5/19/2003,OH,Senior Unsecured,4.8,4.8,15,BBB
IQT14319441,5/15/2010,5/20/2003,MI,Senior Secured,4,4,250,BBB-
IQT14319436,6/1/2013,5/20/2003,PA,Senior Secured,4.3,4.3,100,A-
IQT14319540,6/1/2008,5/21/2003,TX,Senior Unsecured,5.875,5.875,200,BBB
IQT14319528,5/15/2010,5/21/2003,DC,Senior Unsecured,4,4,200,BBB+
IQT40628113,6/1/2015,5/21/2003,TX,Senior Unsecured,6.85,6.85,200,BBB
IQT14319606,6/1/2018,5/22/2003,MS,Senior Secured,4.95,4.95,95,BBB
IQT14319954,6/1/2008,5/28/2003,LA,Senior Secured,3.6,3.6,325,BBB
IQT14319955,6/1/2008,5/28/2003,WA,Senior Secured,3.363,3.363,150,BBB-
IQT14319988,6/1/2008,5/29/2003,MA,Senior Unsecured,3.3,3.3,150,BBB
IQT14320356,6/1/2033,6/4/2003,AR,Senior Unsecured,5.9,5.9,100,BBB
IQT14320447,6/1/2008,6/5/2003,TX,Senior Unsecured,6.125,6.125,250,BBB-
IQT14322622,4/16/2007,6/9/2003,NJ,Senior Unsecured,7.75,7.75,350,BBB-
IQT14320710,6/15/2013,6/10/2003,MO,Senior Unsecured,4.5,4.5,98,BBB
IQT44371442,6/15/2013,6/10/2003,NY,Senior Unsecured,3.85,3.85,200,A
IQT14320708,12/1/2032,6/10/2003,KY,Senior Unsecured,5.625,5.625,75,BBB
IQT14320720,6/15/2033,6/10/2003,NY,Senior Unsecured,5.1,5.1,200,A
IQT14323368,5/15/2008,6/11/2003,IA,Senior Unsecured,3.5,3.5,450,BBB-
IQT14320864,6/15/2033,6/12/2003,OH,Senior Unsecured,5.4,5.4,200,BBB+
IQT14320865,6/15/2033,6/12/2003,OH,Senior Unsecured,5.375,5.375,200,BBB+
IQT14321180,6/15/2033,6/17/2003,MD,Senior Unsecured,5.2,5.2,200,A-
IQT14321490,7/1/2018,6/18/2003,AR,Senior Secured,5,5,115,BBB
IQT14321650,7/1/2033,6/24/2003,LA,Senior Secured,6.2,6.2,240,BBB
IQT14321967,4/15/2013,6/27/2003,GA,Senior Unsecured,4.45,4.45,225,A
IQT14322073,6/20/2023,6/27/2003,DE,Senior Secured,6.639,6.639,380,BBB-
IQT32249430,6/20/2023,6/27/2003,DE,Senior Unsecured,6.639,6.639,380,BBB-
IQT129489192,6/20/2023,6/27/2003,DE,Senior Unsecured,6.639,6.639,380,BBB-
IQT14322294,7/15/2013,7/1/2003,MI,Senior Unsecured,5.25,5.25,267,A-
IQT32236329,7/15/2013,7/1/2003,MI,Senior Unsecured,5.25,5.25,267,A-
IQT14322293,7/15/2013,7/1/2003,MI,Senior Secured,4.45,4.45,185,A-
IQT32230218,7/15/2013,7/1/2003,MI,Senior Unsecured,4.45,4.45,185,A-
IQT40613742,7/15/2015,7/1/2003,GA,Senior Unsecured,4.875,4.875,575,BBB+
IQT32243215,7/15/2015,7/1/2003,GA,Senior Unsecured,4.875,4.875,575,BBB+
IQT14322628,7/15/2013,7/7/2003,NJ,Senior Secured,4.46,4.46,10.5,BBB+
IQT14322624,7/15/2014,7/7/2003,NJ,Senior Secured,4.52,4.52,11,BBB+
IQT14322629,7/15/2016,7/7/2003,NJ,Senior Secured,4.6,4.6,17,BBB+
IQT14322626,7/15/2017,7/7/2003,NJ,Senior Secured,4.657,4.657,15,BBB+
IQT14322627,7/15/2033,7/7/2003,NJ,Senior Secured,5.55,5.55,32,BBB+
IQT14322530,1/15/2014,7/8/2003,OH,Senior Unsecured,4.85,4.85,225,BBB
IQT14322531,7/15/2033,7/8/2003,OH,Senior Unsecured,6.375,6.375,225,BBB
IQT14322638,8/1/2010,7/9/2003,MI,Senior Unsecured,7.75,7.75,300,B+
IQT14322679,8/1/2015,7/10/2003,LA,Senior Secured,5.25,5.25,200,BBB
IQT14322837,7/15/2013,7/14/2003,FL,Senior Unsecured,4.35,4.35,60,A
IQT14322971,7/15/2014,7/16/2003,IN,Senior Unsecured,5.4,5.4,500,BBB
IQT44304678,8/1/2033,7/21/2003,VA,Senior Unsecured,5.25,5.25,510,BBB+
IQT14323403,8/1/2008,7/22/2003,NY,Senior Unsecured,3.625,3.625,200,A-
IQT14323501,8/1/2008,7/23/2003,LA,Senior Secured,3.875,3.875,30,BBB
IQT14323494,8/1/2013,7/23/2003,LA,Senior Secured,5.25,5.25,70,BBB
IQT14323921,7/1/2013,7/30/2003,IN,Senior Secured,6.3,6.3,110,BB+
IQT14323889,8/1/2013,7/30/2003,OR,Senior Unsecured,5.625,5.625,50,BBB+
IQT14323891,8/1/2023,7/30/2003,OR,Senior Unsecured,6.75,6.75,50,BBB+
IQT14323894,8/1/2033,7/30/2003,OR,Senior Unsecured,6.875,6.875,50,BBB+
IQT14349060,12/3/2007,7/31/2003,LA,Senior Unsecured,5.2,5.2,200,BBB
IQT14349059,12/1/2012,7/31/2003,LA,Senior Unsecured,6,6,140,BBB-
IQT14324182,8/1/2006,8/4/2003,MN,Senior Secured,2.875,2.875,200,BBB
IQT14324186,8/1/2010,8/4/2003,MN,Senior Secured,4.75,4.75,175,BBB
IQT14324783,8/15/2013,8/13/2003,NV,Senior Secured,9,9,350,B+
IQT14326967,3/5/2008,8/15/2003,NC,Senior Secured,3.75,3.75,500,A-
IQT14324990,8/15/2010,8/18/2003,IL,Senior Secured,4.74,4.74,250,A-
IQT14327068,2/15/2005,8/19/2003,OH,Senior Unsecured,3,3,150,BBB
IQT14325106,2/17/2009,8/19/2003,MI,Senior Secured,4.8,4.8,200,BBB-
IQT14327063,2/15/2013,8/19/2003,OH,Senior Unsecured,5.5,5.5,250,BBB
IQT14327070,2/15/2013,8/19/2003,OH,Senior Unsecured,5.5,5.5,275,BBB
IQT14327057,3/1/2013,8/19/2003,OH,Senior Unsecured,5.5,5.5,250,BBB
IQT14327397,3/1/2013,8/19/2003,OH,Senior Unsecured,5.5,5.5,225,BBB
IQT14325108,2/15/2014,8/19/2003,MI,Senior Secured,6,6,200,BB
IQT14327065,2/15/2033,8/19/2003,OH,Senior Unsecured,6.65,6.65,275,BBB
IQT14327064,2/15/2033,8/19/2003,OH,Senior Unsecured,6.6,6.6,250,BBB
IQT14327062,3/1/2033,8/19/2003,OH,Senior Unsecured,6.6,6.6,250,BBB
IQT14327363,3/1/2013,8/25/2003,CO,Senior Secured,4.875,4.875,250,BBB+
IQT14326101,10/1/2008,9/2/2003,CO,Senior Secured,4.375,4.375,300,BBB+
IQT14326108,4/1/2014,9/2/2003,CO,Senior Secured,5.5,5.5,275,BBB+
IQT14325870,9/15/2008,9/3/2003,OR,Senior Secured,4.3,4.3,200,A-
IQT40630260,9/1/2010,9/3/2003,TX,Senior Unsecured,7.25,7.25,200,BBB
IQT14325894,9/1/2013,9/3/2003,WA,Senior Secured,6.125,6.125,45,BB+
IQT40767266,9/1/2013,9/3/2003,NJ,Senior Secured,5.375,5.375,300,BBB
IQT14325872,9/15/2013,9/3/2003,OR,Senior Secured,5.45,5.45,200,A-
IQT14325887,1/15/2014,9/3/2003,TX,Senior Secured,5.75,5.75,300,BBB
IQT14325961,9/1/2028,9/4/2003,WI,Senior Unsecured,6.12,6.12,20,AA
IQT14326070,9/15/2013,9/8/2003,NC,Senior Secured,5.125,5.125,400,BBB
IQT44389413,9/15/2013,9/8/2003,GA,Senior Unsecured,4.9,4.9,100,A
IQT46874451,9/15/2033,9/8/2003,ME,Senior Unsecured,6.75,6.75,200,BBB+
IQT14326072,9/15/2033,9/8/2003,NC,Senior Secured,6.125,6.125,200,BBB
IQT14326143,9/15/2008,9/9/2003,NM,Senior Unsecured,4.4,4.4,300,BBB-
IQT14328185,3/1/2010,9/9/2003,IL,Senior Unsecured,4,4,50,A-
IQT14328184,5/1/2013,9/9/2003,IL,Senior Unsecured,4.625,4.625,40,A-
IQT14328327,5/1/2013,9/9/2003,IL,Senior Subordinate,4.625,4.625,75,A-
IQT14326142,9/1/2033,9/9/2003,NY,Senior Secured,6.375,6.375,75,BBB+
IQT32249004,9/1/2033,9/9/2003,NY,Senior Secured,6.375,6.375,11.752,BBB+
IQT14326224,9/15/2010,9/10/2003,OH,Senior Unsecured,4.85,4.85,150,BBB
IQT14326315,9/30/2014,9/10/2003,NJ,Senior Unsecured,5.115,5.115,10,BBB+
IQT14326219,9/15/2018,9/10/2003,IA,Senior Unsecured,5.875,5.875,100,BBB
IQT14331687,2/15/2007,9/12/2003,CA,Senior Secured,8,8,965.965,BB
IQT14326400,9/30/2013,9/12/2003,NJ,Senior Unsecured,5.027,5.027,14.5,BBB+
IQT14326592,9/23/2010,9/17/2003,NY,Senior Unsecured,4.33,4.33,24,A
IQT14326634,10/1/2008,9/18/2003,NC,Senior Unsecured,4.2,4.2,300,BBB+
IQT14326643,9/15/2013,9/18/2003,IN,Senior Unsecured,5,5,400,BBB+
IQT14326633,10/1/2015,9/18/2003,NC,Senior Secured,5.3,5.3,500,BBB+
IQT14329562,1/15/2015,9/22/2003,TX,Senior Secured,6.375,6.375,500,BBB
IQT14329532,1/15/2033,9/22/2003,TX,Senior Secured,7.25,7.25,350,BBB
IQT32251980,9/15/2008,9/23/2003,LA,Senior Unsecured,6.13,6.13,150,BBB
IQT14326962,3/30/2005,9/24/2003,FL,Senior Unsecured,1.875,1.875,200,A
IQT14327011,9/1/2013,9/25/2003,MA,Senior Unsecured,5,5,55,BBB+
IQT14327009,10/1/2018,9/25/2003,WI,Senior Secured,5.25,5.25,150,BBB+
IQT14327349,10/1/2033,10/1/2003,TX,Senior Unsecured,6,6,100,BBB
IQT14327777,10/1/2033,10/9/2003,FL,Senior Secured,5.95,5.95,300,A
IQT14327956,4/15/2018,10/14/2003,CA,Senior Secured,5.45,5.45,250,A
IQT14327961,10/15/2033,10/14/2003,IA,Senior Unsecured,6.45,6.45,100,BBB+
IQT14328800,11/1/2006,10/29/2003,IN,Senior Unsecured,3.2,3.2,250,BBB
IQT14328762,1/15/2014,10/29/2003,TX,Senior Unsecured,5.95,5.95,160,BBB
IQT14328795,11/15/2033,10/29/2003,MO,Senior Unsecured,6.7,6.7,62,BBB
IQT47435214,11/1/2018,10/30/2003,SC,Senior Secured,5.25,5.25,250,A-
IQT40767267,11/1/2008,11/6/2003,NJ,Senior Secured,4,4,250,BBB
IQT14331739,5/15/2008,11/13/2003,MI,Senior Unsecured,7.125,7.125,150,BB-
IQT14331738,5/15/2013,11/13/2003,MI,Senior Unsecured,7.75,7.75,150,BB-
IQT14329583,12/1/2006,11/14/2003,AL,Senior Unsecured,2.8,2.8,350,A
IQT14329817,11/22/2010,11/18/2003,OR,Senior Secured,4.11,4.11,10,A
IQT14329796,12/1/2015,11/18/2003,FL,Senior Secured,5.1,5.1,300,BBB
IQT14329815,11/21/2023,11/18/2003,OR,Senior Secured,5.62,5.62,40,A
IQT14329720,11/15/2013,11/19/2003,DC,Senior Secured,4.95,4.95,200,A-
IQT14329921,12/1/2010,11/20/2003,OH,Senior Unsecured,4.4,4.4,150,BBB
IQT14330122,3/1/2014,11/24/2003,VA,Senior Unsecured,5,5,200,BBB+
IQT14330120,12/1/2015,11/24/2003,NJ,Senior Unsecured,5.5,5.5,300,BBB
IQT14333762,5/1/2018,11/24/2003,AR,Senior Secured,5.4,5.4,150,BBB+
IQT14333795,7/1/2018,11/24/2003,AR,Senior Secured,5,5,115,BBB+
IQT14333786,6/1/2033,11/24/2003,AR,Senior Secured,5.9,5.9,100,BBB+
IQT14334998,3/15/2010,11/28/2003,OH,Senior Unsecured,4.45,4.45,100,BBB
IQT14334991,3/15/2013,11/28/2003,OH,Senior Unsecured,4.95,4.95,150,BBB+
IQT14330583,12/15/2010,12/2/2003,VA,Senior Unsecured,4.5,4.5,230,A-
IQT14330584,12/15/2015,12/2/2003,VA,Senior Unsecured,5.25,5.25,200,A-
IQT14332769,6/1/2008,12/3/2003,TX,Senior Unsecured,5.875,5.875,200,BBB-
IQT14332767,9/1/2010,12/3/2003,TX,Senior Unsecured,7.25,7.25,200,BBB-
IQT14332790,3/15/2013,12/3/2003,TX,Senior Secured,5.7,5.7,450,BBB
IQT14332922,4/1/2013,12/3/2003,TX,Senior Unsecured,7.875,7.875,762,BBB
IQT14332920,1/15/2014,12/3/2003,TX,Senior Unsecured,5.95,5.95,160,BBB
IQT14332793,1/15/2014,12/3/2003,TX,Senior Secured,5.75,5.75,300,BBB
IQT14332768,6/1/2015,12/3/2003,TX,Senior Unsecured,6.85,6.85,200,BBB-
IQT14332792,7/1/2023,12/3/2003,TX,Senior Secured,5.6,5.6,200,BBB
IQT14332787,3/15/2033,12/3/2003,TX,Senior Secured,6.95,6.95,312.275,BBB
IQT32255847,1/1/2018,12/4/2003,NY,Senior Unsecured,5.469,5.469,89.175,A
IQT14330621,12/1/2023,12/4/2003,IL,Senior Secured,5.8,5.8,50,AA
IQT14330622,12/1/2032,12/4/2003,IL,Senior Secured,5.9,5.9,50,AA
IQT14330623,12/1/2033,12/4/2003,IL,Senior Secured,5.9,5.9,50,AA
IQT14333725,6/1/2008,12/8/2003,TX,Senior Unsecured,6.125,6.125,250,BBB-
IQT14330931,12/15/2013,12/9/2003,OH,Senior Unsecured,5.65,5.65,300,BBB-
IQT14335682,7/15/2015,12/9/2003,GA,Senior Unsecured,4.875,4.875,574.585,BBB+
IQT14330947,1/15/2011,12/10/2003,CA,Senior Secured,4.375,4.375,250,A
IQT14331142,12/15/2013,12/10/2003,GA,Senior Unsecured,4.9,4.9,25,A
IQT14331103,6/27/2017,12/11/2003,FL,Senior Secured,6.876,6.876,125,BB-
IQT130393230,6/27/2017,12/11/2003,FL,Senior Unsecured,6.876,6.876,125,BB-
IQT14331138,5/15/2013,12/12/2003,MI,Senior Unsecured,7.75,7.75,50,BB-
IQT14331354,12/19/2013,12/16/2003,NC,Senior Unsecured,5,5,100,A
IQT14331360,12/19/2033,12/16/2003,NC,Senior Unsecured,6,6,100,A
IQT14336738,6/1/2008,12/22/2003,LA,Senior Secured,3.6,3.6,325,BBB-
IQT14336751,8/1/2015,12/22/2003,LA,Senior Secured,5.25,5.25,200,BBB-
IQT14336747,7/1/2033,12/22/2003,LA,Senior Secured,6.2,6.2,239.85,BBB-
IQT14332149,1/1/2034,1/6/2004,IN,Senior Secured,6.6,6.6,100,BB+
IQT32231873,1/1/2034,1/6/2004,IN,Senior Secured,6.6,6.6,1.772,BB+
IQT14332237,1/15/2014,1/7/2004,CA,Senior Secured,5,5,300,BBB
IQT14332238,1/15/2034,1/7/2004,CA,Senior Secured,6,6,525,BBB
IQT14332418,1/15/2011,1/12/2004,GA,Senior Unsecured,4,4,100,A
IQT14332421,1/15/2016,1/12/2004,VA,Senior Unsecured,5.2,5.2,200,BBB+
IQT14336579,4/15/2008,1/15/2004,MI,Senior Secured,4.25,4.25,250,BBB-
IQT14336708,2/17/2009,1/15/2004,MI,Senior Secured,4.8,4.8,200,BBB-
IQT14336703,5/15/2010,1/15/2004,MI,Senior Secured,4,4,250,BBB-
IQT14336582,4/15/2013,1/15/2004,MI,Senior Secured,5.375,5.375,375,BBB-
IQT14336710,2/15/2014,1/15/2004,MI,Senior Secured,6,6,200,BBB-
IQT14333351,2/1/2035,1/26/2004,FL,Senior Secured,5.65,5.65,240,A
IQT14339805,10/1/2018,2/5/2004,WI,Senior Secured,5.25,5.25,150,BBB+
IQT14338779,10/1/2033,2/5/2004,TX,Senior Unsecured,6,6,99.965,BBB
IQT14334596,2/1/2014,2/9/2004,NY,Senior Unsecured,4.7,4.7,200,A
IQT14334671,2/15/2014,2/9/2004,IA,Senior Unsecured,5,5,250,BBB-
IQT14334607,2/1/2034,2/9/2004,NY,Senior Unsecured,5.7,5.7,200,A
IQT14338521,5/1/2008,2/10/2004,OH,Senior Unsecured,4,4,174.9,BB+
IQT14338520,5/1/2015,2/10/2004,OH,Senior Unsecured,5.45,5.45,150,BB+
IQT14334963,2/15/2019,2/10/2004,AL,Senior Unsecured,5.125,5.125,200,A
IQT14336031,3/1/2009,2/20/2004,PA,Senior Unsecured,4.33,4.33,201,BBB
IQT14336192,2/27/2014,2/24/2004,NY,Senior Unsecured,4.73,4.73,7,A
IQT14340053,2/15/2014,3/5/2004,IA,Senior Unsecured,5,5,250,BBB-
IQT14337681,3/15/2011,3/12/2004,HI,Senior Unsecured,4.23,4.23,50,BBB
IQT14337845,4/15/2014,3/15/2004,DC,Senior Unsecured,4.65,4.65,175,A-
IQT14337848,4/15/2034,3/15/2004,DC,Senior Unsecured,5.75,5.75,100,A-
IQT33167267,4/15/2034,3/15/2004,DC,Senior Unsecured,5.75,5.75,10,A-
IQT14337887,3/15/2014,3/16/2004,NV,Senior Unsecured,8.625,8.625,335,B+
IQT25957128,4/1/2019,3/17/2004,LA,Senior Secured,5.5,5.5,100,BBB
IQT14338080,3/1/2009,3/18/2004,CA,Senior Secured,3.6,3.6,600,D
IQT14338082,3/1/2011,3/18/2004,CA,Senior Secured,4.2,4.2,500,D
IQT14338085,3/1/2014,3/18/2004,CA,Senior Secured,4.8,4.8,1000,D
IQT14338086,3/1/2034,3/18/2004,CA,Senior Secured,6.05,6.05,3000,D
IQT40630012,4/1/2014,3/22/2004,OH,Senior Secured,4.875,4.875,250,BBB-
IQT14338387,4/1/2034,3/22/2004,MS,Senior Secured,6.25,6.25,100,BBB
IQT14338522,4/1/2015,3/23/2004,CA,Senior Secured,4.65,4.65,300,BBB
IQT14338543,3/15/2034,3/23/2004,ID,Senior Secured,5.5,5.5,50,A-
IQT14338818,4/1/2035,3/23/2004,CA,Senior Secured,5.75,5.75,350,BBB
IQT32231522,4/1/2035,3/23/2004,CA,Senior Secured,5.75,5.75,10,BBB
IQT32237944,3/31/2009,3/25/2004,OH,Senior Unsecured,8,8,175,BB
IQT14338714,4/1/2009,3/25/2004,NJ,Senior Unsecured,3.75,3.75,250,BBB
IQT14338629,4/1/2014,3/25/2004,NJ,Senior Unsecured,5,5,250,BBB
IQT14338959,4/1/2014,3/29/2004,OH,Senior Unsecured,5.125,5.125,150,BBB-
IQT14339173,4/15/2012,4/1/2004,NV,Senior Secured,6.5,6.5,130,B+
IQT14339220,5/15/2034,4/1/2004,DE,Senior Secured,5.8,5.8,120,BBB+
IQT14339992,4/15/2012,4/12/2004,NV,Senior Secured,6.25,6.25,100,B+
IQT32246763,4/15/2014,4/13/2004,MA,Senior Unsecured,4.875,4.875,300,A
IQT14340416,5/1/2034,4/16/2004,PA,Senior Secured,5.9,5.9,75,A
IQT14340526,5/1/2011,4/19/2004,MS,Senior Secured,4.65,4.65,80,BBB
IQT40601151,5/1/2016,4/20/2004,OH,Senior Secured,5.625,5.625,300,BBB
IQT14340664,5/1/2019,4/21/2004,MO,Senior Secured,5.5,5.5,50,A
